rank,combination,n_interior,total_knots,fitness,export_date
1,4_4_4_3_1,"[4, 4, 4, 3, 1]",22,3.22613441,2026-06-05T10:14:20.416
2,4_3_4_3_1,"[4, 3, 4, 3, 1]",21,3.25172376,2026-06-05T10:12:56.257
3,3_4_4_3_1,"[3, 4, 4, 3, 1]",21,3.25441776,2026-06-05T10:12:41.142
4,4_4_4_2_1,"[4, 4, 4, 2, 1]",21,3.2621233,2026-06-05T10:00:59.037
5,4_2_4_3_1,"[4, 2, 4, 3, 1]",20,3.26227167,2026-06-05T10:08:05.818
6,4_4_3_4_1,"[4, 4, 3, 4, 1]",22,3.26677556,2026-06-05T10:22:04.396
7,4_1_4_3_1,"[4, 1, 4, 3, 1]",19,3.26682735,2026-06-05T10:08:13.156
8,4_4_3_3_1,"[4, 4, 3, 3, 1]",21,3.26901906,2026-06-05T10:10:34.352
9,3_2_4_3_1,"[3, 2, 4, 3, 1]",19,3.26918393,2026-06-05T10:08:31.225
10,3_3_4_3_1,"[3, 3, 4, 3, 1]",20,3.27091136,2026-06-05T10:08:43.036
11,4_4_3_2_1,"[4, 4, 3, 2, 1]",20,3.27898714,2026-06-05T09:47:39.497
12,2_4_4_3_1,"[2, 4, 4, 3, 1]",20,3.28406524,2026-06-05T10:08:52.280
13,4_3_4_2_1,"[4, 3, 4, 2, 1]",20,3.28773331,2026-06-05T09:56:13.095
14,4_3_3_4_1,"[4, 3, 3, 4, 1]",21,3.28811585,2026-06-05T10:23:12.332
15,2_2_4_3_1,"[2, 2, 4, 3, 1]",18,3.28858765,2026-06-05T10:08:25.114
16,3_4_4_2_1,"[3, 4, 4, 2, 1]",20,3.28875927,2026-06-05T09:56:52.331
17,4_3_3_3_1,"[4, 3, 3, 3, 1]",20,3.28969653,2026-06-05T10:07:09.727
18,2_3_4_3_1,"[2, 3, 4, 3, 1]",19,3.29174149,2026-06-05T10:08:44.622
19,1_4_4_3_1,"[1, 4, 4, 3, 1]",19,3.29208349,2026-06-05T10:09:08.653
20,3_4_3_4_1,"[3, 4, 3, 4, 1]",21,3.29322561,2026-06-05T10:21:46.858
21,3_4_3_3_1,"[3, 4, 3, 3, 1]",20,3.29547021,2026-06-05T10:07:17.616
22,4_3_3_2_1,"[4, 3, 3, 2, 1]",19,3.29602119,2026-06-05T09:47:12.735
23,3_1_4_3_1,"[3, 1, 4, 3, 1]",18,3.29707249,2026-06-05T10:08:37.283
