rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
1,3_2_4_5_1,"[3, 2, 4, 5, 1]",21,43,1,3.11821128,7.692653918713468e-9,2026-06-19T19:20:02.105
2,3_3_5_2_2,"[3, 3, 5, 2, 2]",21,43,1,3.13927206,8.350035889075588e-9,2026-06-19T22:07:18.079
3,3_3_3_1_1,"[3, 3, 3, 1, 1]",17,35,1,3.16258287,6.634384095979353e-9,2026-06-19T14:23:57.544
4,3_5_1_3_3,"[3, 5, 1, 3, 3]",21,43,1,3.16308463,7.044631496930165e-9,2026-06-20T04:41:48.692
5,3_2_2_4_5,"[3, 2, 2, 4, 5]",22,45,1,3.16654613,7.413226998963554e-9,2026-06-21T17:17:12.459
6,3_3_2_2_1,"[3, 3, 2, 2, 1]",17,35,1,3.20015782,6.946693819359649e-9,2026-06-19T15:19:23.916
7,4_3_5_3_5,"[4, 3, 5, 3, 5]",26,53,1,3.20146536,5.979074780105508e-9,2026-06-21T16:49:16.026
8,3_4_4_1_5,"[3, 4, 4, 1, 5]",23,47,1,3.20196479,8.233949884724204e-9,2026-06-21T14:12:04.428
9,3_4_2_4_4,"[3, 4, 2, 4, 4]",23,47,1,3.20278888,8.638818596464928e-9,2026-06-20T12:20:54.573
10,4_5_1_3_5,"[4, 5, 1, 3, 5]",24,49,1,3.20335311,5.913665368829914e-9,2026-06-21T15:56:40.478
11,5_4_4_1_4,"[5, 4, 4, 1, 4]",24,49,1,3.20737222,6.0090450171606994e-9,2026-06-20T09:12:22.737
12,4_4_1_1_4,"[4, 4, 1, 1, 4]",20,41,1,3.20803906,5.955206249870247e-9,2026-06-20T08:28:25.349
13,4_3_1_3_5,"[4, 3, 1, 3, 5]",22,45,1,3.20892541,5.919581992017293e-9,2026-06-21T15:48:49.087
14,5_2_5_2_4,"[5, 2, 5, 2, 4]",24,49,1,3.20964614,5.937367402770419e-9,2026-06-20T10:32:45.506
15,2_3_4_3_4,"[2, 3, 4, 3, 4]",22,45,1,3.21083499,5.937367402770419e-9,2026-06-20T11:33:40.441
16,4_4_5_3_4,"[4, 4, 5, 3, 4]",26,53,1,3.21240849,5.9671285807267275e-9,2026-06-20T11:53:12.301
17,3_5_1_1_3,"[3, 5, 1, 1, 3]",19,39,1,3.21322817,5.9018498575420515e-9,2026-06-20T02:13:33.307
18,5_5_5_5_5,"[5, 5, 5, 5, 5]",31,63,1,3.21409204,5.949254020231208e-9,2026-06-21T19:19:16.939
19,3_4_2_4_2,"[3, 4, 2, 4, 2]",21,43,1,3.21596726,6.5486952867721215e-9,2026-06-19T23:53:32.766
20,4_3_1_4_4,"[4, 3, 1, 4, 4]",22,45,1,3.21607227,5.9433077398467066e-9,2026-06-20T12:04:06.322
21,4_5_5_3_5,"[4, 5, 5, 3, 5]",28,57,1,3.21624206,5.973098693866522e-9,2026-06-21T16:53:30.405
22,3_2_5_4_3,"[3, 2, 5, 4, 3]",23,47,1,3.21655264,5.890057953661489e-9,2026-06-20T06:49:44.364
23,3_3_1_5_3,"[3, 3, 1, 5, 3]",21,43,1,3.21691314,5.9671285807267275e-9,2026-06-20T07:06:47.168
24,5_4_5_2_4,"[5, 4, 5, 2, 4]",26,53,1,3.21706296,5.913665368829914e-9,2026-06-20T10:37:45.118
25,5_1_4_2_4,"[5, 1, 4, 2, 4]",22,45,1,3.21738357,5.925504534787157e-9,2026-06-20T10:14:52.106
26,2_2_1_3_4,"[2, 2, 1, 3, 4]",18,37,1,3.2177829,5.9314330030620284e-9,2026-06-20T10:45:19.159
27,5_5_1_4_1,"[5, 5, 1, 4, 1]",22,45,1,3.21869148,5.9850568454197515e-9,2026-06-19T17:31:23.681
28,4_4_1_5_3,"[4, 4, 1, 5, 3]",23,47,1,3.21915743,5.9314330030620284e-9,2026-06-20T07:06:31.685
29,4_5_1_5_3,"[4, 5, 1, 5, 3]",24,49,1,3.22116228,5.997038937208364e-9,2026-06-20T07:15:21.468
30,3_3_4_3_5,"[3, 3, 4, 3, 5]",24,49,1,3.22117212,5.925504534787157e-9,2026-06-21T16:37:26.909
31,4_5_4_3_4,"[4, 5, 4, 3, 4]",26,53,1,3.22122393,5.925504534787157e-9,2026-06-20T11:39:33.926
32,3_2_1_5_4,"[3, 2, 1, 5, 4]",21,43,1,3.22150725,5.9433077398467066e-9,2026-06-20T13:12:48.443
33,4_3_5_2_1,"[4, 3, 5, 2, 1]",21,43,1,3.22253187,5.997038937208364e-9,2026-06-19T15:52:05.739
