time,X
0.0,4.534278122232064e6
18.5,1.0202125775022143e7
42.5,8.006260563380282e7
66.5,2.1460183098591548e8
90.5,2.0729154929577464e8
162.5,2.817453974484789e8
186.5,3.2928412168792933e8
210.5,3.152782139352306e8
234.5,3.501476938174681e8
258.5,3.501476938174681e8
330.5,4.208165063788027e8
354.5,3.219244833625219e8
378.5,3.1352374781085813e8
402.5,4.0821352014010507e8
426.5,3.526753239929947e8
522.5,4.668112434325744e8
546.5,4.7723437828371274e8
570.5,4.8402756567425567e8
594.5,4.716693103448276e8
