time,X
0.0,3.8087936226749336e6
18.5,1.6776829052258637e7
42.5,7.715852112676056e7
66.5,2.5696140845070422e8
90.5,3.689689436619718e8
162.5,3.022021589793916e8
186.5,3.2666891069676155e8
210.5,3.56598547595682e8
234.5,2.984246319921492e8
258.5,4.06810598626104e8
330.5,3.6339809617271835e8
354.5,3.3239947460595447e8
378.5,3.21717057793345e8
402.5,3.201613660245184e8
426.5,3.3877781085814357e8
522.5,4.464835376532399e8
546.5,4.209701926444833e8
570.5,4.2117761821366024e8
594.5,4.288344827586207e8
