time,X
0.0,4.1715358724534987e6
18.5,2.258574313551816e7
42.5,5.4326408450704224e7
66.5,6.138633802816901e7
90.5,4.746676056338028e7
162.5,6.247448478900883e7
186.5,5.375711481844946e7
210.5,5.7767105004906766e7
234.5,5.9161884200196266e7
258.5,6.607766437684004e7
330.5,6.596143277723258e7
354.5,5.315280210157618e7
378.5,5.403436077057793e7
402.5,5.253052539404553e7
426.5,5.574562171628721e7
522.5,5.927185639229421e7
546.5,6.3783362521891415e7
570.5,6.6168756567425564e7
594.5,5.547620689655172e7
618.5,4.56548275862069e7
642.5,5.134344827586207e7
666.5,5.182965517241379e7
690.5,4.45851724137931e7
714.5,4.798862068965517e7
738.5,5.396896551724137e7
762.5,6.631845766974015e7
810.5,5.4851718357082985e7
834.5,6.1007024308466054e7
858.5,5.3660368818105616e7
882.5,5.090283960092095e7
906.5,5.222085955487337e7
930.5,6.324080469404861e7
1026.5,5.1175533384497315e7
1050.5,4.91530544896393e7
1074.5,3.491616653875671e7
1098.5,4.239771730618637e7
1170.5,3.981234925606891e7
1194.5,4.560913860610806e7
1242.5,4.98639819890368e7
1266.5,4.520336335160532e7
1343.5,4.894808927173062e7
1363.5,7.20424980422866e7
1387.5,6.265169929522318e7
1411.5,7.016433829287392e7
1435.5,5.213831460674158e7
1507.5,4.966685393258428e7
1531.5,3.942455056179776e7
1555.5,4.786986100950988e7
1579.5,4.916949524506218e7
1603.5,5.378319678127286e7
