time,X
0.0,4.2722976085031e6
18.5,2.81629052258636e7
42.5,5.257394366197183e7
66.5,4.2910352112676054e7
90.5,4.0807394366197184e7
162.5,6.479911678115799e7
186.5,6.2590716388616286e7
210.5,7.549242394504416e7
234.5,6.613578017664377e7
258.5,4.503974484789009e7
330.5,6.747244357212953e7
354.5,6.3005516637478106e7
378.5,5.253052539404553e7
402.5,5.6990175131348506e7
426.5,6.352408056042031e7
522.5,3.718103327495621e7
546.5,5.67308931698774e7
570.5,6.155353765323993e7
594.5,5.358e7
618.5,4.7696896551724136e7
642.5,4.093862068965517e7
666.5,4.429344827586207e7
690.5,4.672448275862069e7
714.5,5.450379310344827e7
738.5,4.8231724137931034e7
762.5,6.736088851634535e7
810.5,6.433287510477787e7
834.5,5.912072087175188e7
858.5,6.021279128248114e7
882.5,5.135732924021489e7
906.5,6.85824865694551e7
930.5,6.353864207879296e7
1026.5,5.712934765924789e7
1050.5,6.416257482732157e7
1074.5,4.69033307751343e7
1098.5,4.776554424432263e7
1170.5,4.891330853563038e7
1194.5,4.936545810493343e7
1242.5,5.1197243539545804e7
1266.5,4.719745888801879e7
1343.5,5.1185649960845724e7
1363.5,7.143963194988254e7
1387.5,6.791518402505873e7
1411.5,5.525499608457322e7
1435.5,4.4367471910112366e7
1507.5,6.138252808988765e7
1531.5,4.650623595505618e7
1555.5,5.483373445501097e7
1579.5,4.994927578639356e7
1603.5,6.63246671543526e7
